ranking,id,imageUrl,traitCount,formula,rarity,Moon,Flag,Weapons,Body,Skin,Eyes,Accessories,,,1000000
1,1273,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1273.png,6,2.30285E-11,0.000000000,Pink,None,Big Bags,CEO of Kusama,Titan,Glowing Red,Moon Gauntlet,,,
2,1274,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1274.png,6,6.28038E-06,0.000000000,Pink,None,Dual High Frequency Blades,New York,Pale,Mr. Biz,Moonriver Ice Cream Necklace,,,
3,2,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2.png,6,0.001447131,0.000000001,Purple,None,Dual High Frequency Blades,Yellow,Pale Face Tats,Joy,Kilt,,,
4,839,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/839.png,7,0.024191666,0.000000024,Purple,Kusama,The Great Knife,Gray,Pale Eye Gash,Innocent,Rabbit Mask,,,
5,2724,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2724.png,7,0.028421827,0.000000028,Red,Kusama,Dual High Frequency Blades,Light Blue,Cyborg,Angry,Kilt Protocol,,,
6,420,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/420.png,6,0.028944642,0.000000029,Pink,None,MoonBlade,Yellow,Pale Eye Gash,Angry,Rabbit Mask,,,
7,1898,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1898.png,7,0.032516798,0.000000033,Pink,Kusama,Dual High Frequency Blades,Gray,Cyborg,Angry,Moonlight Visor,,,
8,2826,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2826.png,7,0.034754786,0.000000035,Pink,Moonriver,High Frequency Blade,White,Pale,Glowing,Moonriver Ice Cream Necklace,,,
9,1283,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1283.png,7,0.048379808,0.000000048,Pink,Moonriver,MoonBlade,Red,Cyborg,Innocent,Moonlight Visor,,,
10,3601,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3601.png,7,0.050239378,0.000000050,Purple,Moonriver,High Frequency Blade,Yellow,Pale Face Tats,Joy,Sonichu Medallion,,,
11,82,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/82.png,6,0.055923186,0.000000056,Red,None,Odradek,Green,Cyborg,Innocent,Rabbit Mask,,,
12,2419,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2419.png,7,0.059177801,0.000000059,Red,Moonriver,Buster Sword,Green,Pale Face Tats,Solid,Moon Gauntlet,,,
13,2800,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2800.png,7,0.062978576,0.000000063,Purple,Moonriver,Hidden Blades,Red,Tan Face Tats,Solid,Sonichu Medallion,,switched,
14,3423,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3423.png,7,0.06303897,0.000000063,Pink,Kusama,Buster Sword,Dark Blue,Cyborg,Anime,Moon Gauntlet,,switched,
15,1290,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1290.png,7,0.066251989,0.000000066,Purple,Moonriver,High Frequency Blade,Light Blue,Pale Eye Gash,Glowing,Sonichu Medallion,,,
16,2810,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2810.png,7,0.068770562,0.000000069,Pink,Moonriver,Odradek,Light Blue,Cyborg,Solid,Sonichu Medallion,,,
17,2693,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2693.png,7,0.068809228,0.000000069,Pink,Moonriver,Buster Sword,Green,Tan Face Tats,Solid,Moon Gauntlet,,switched,
18,1626,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1626.png,7,0.069652817,0.000000070,Pink,Kusama,Ethereal Master Sword,Dark Blue,Tan Eye Gash,Solid,Moonlight Visor,,switched,
19,2570,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2570.png,7,0.070113762,0.000000070,Green,Moonriver,Dual High Frequency Blades,Light Blue,Tan Eye Gash,Solid,Sonichu Medallion,,,
20,544,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/544.png,6,0.073709576,0.000000074,Red,None,High Frequency Blade,Green,Pale Eye Gash,Cyclops,Rabbit Mask,,,
21,3808,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3808.png,7,0.074652109,0.000000075,Purple,Kusama,MoonBlade,Light Blue,Pale Eye Gash,Angry,Moon Gauntlet,,,
22,1419,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1419.png,7,0.074931314,0.000000075,Pink,Moonriver,High Frequency Blade,Green,Tan,Glowing,Sonichu Medallion,,,
